[2020-12-02 14:24:55]	dilan             		SELLER         		LOCAL		54154		LK		Colombo		ACCESSED
[2020-12-02 14:29:16]	dilan             		SELLER         		LOCAL		54213						ACCESSED
[2020-12-02 14:30:58]	dilan             		SELLER         		LOCAL		54233						ACCESSED
[2020-12-02 16:11:17]	chathura             		BUYER         		LOCAL		55895						ACCESSED
[2020-12-02 16:14:43]	dilan             		SELLER         		LOCAL		56589						ACCESSED
[2020-12-02 16:15:03]	chathura             		BUYER         		LOCAL		56656						ACCESSED
[2020-12-02 16:15:32]	nimaya             		SELLER         		LOCAL		56731						ACCESSED
[2020-12-02 16:15:55]	dilan             		SELLER         		LOCAL		56749						ACCESSED
[2020-12-02 16:16:46]	chathura             		BUYER         		LOCAL		57177						ACCESSED
[2020-12-02 16:17:22]	chathura             		BUYER         		LOCAL		57450						ACCESSED
[2020-12-02 19:18:40]	chathura             		BUYER         		LOCAL		61697						ACCESSED
[2020-12-02 21:10:03]	chathura             		BUYER         		LOCAL		49261						ACCESSED
[2020-12-02 21:10:11]	chathura             		BUYER         		LOCAL		49261						ACCESSED
[2020-12-02 21:10:17]	dilan             		SELLER         		LOCAL		49261						ACCESSED
[2020-12-02 21:39:55]	chathura             		BUYER         		LOCAL		52108						ACCESSED
[2020-12-02 21:40:38]	chathura             		BUYER         		LOCAL		52122						ACCESSED
[2020-12-02 21:45:32]	dilan             		SELLER         		LOCAL		53682						ACCESSED
